state,county,date,cases,deaths,all_hospital_beds,hospitalized_covid_confirmed_patients,hospitalized_covid_patients,hospitalized_suspected_covid_patients,icu_available_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients
Washington,Kittitas,2020-03-08,1,0.0,,,,,,,
Washington,Pierce,2020-03-08,4,0.0,,,,,,,
Washington,Snohomish,2020-03-08,36,0.0,,,,,,,
Washington,Spokane,2020-03-08,4,0.0,,,,,,,
Washington,Walla Walla,2020-03-08,1,0.0,,,,,,,
Washington,Chelan,2020-03-09,1,1.0,,,,,,,
Washington,Clark,2020-03-09,1,0.0,,,,,,,
Washington,Jefferson,2020-03-09,1,0.0,,,,,,,
Washington,King,2020-03-09,117,21.0,,,,,,,
Washington,Kitsap,2020-03-09,1,0.0,,,,,,,
Washington,Kittitas,2020-03-09,1,0.0,,,,,,,
Washington,Pierce,2020-03-09,7,0.0,,,,,,,
Washington,Snohomish,2020-03-09,45,0.0,,,,,,,
Washington,Spokane,2020-03-09,4,0.0,,,,,,,
Washington,Walla Walla,2020-03-09,1,0.0,,,,,,,
Washington,Chelan,2020-03-10,1,1.0,,,,,,,
Washington,Clark,2020-03-10,1,0.0,,,,,,,
Washington,Jefferson,2020-03-10,1,0.0,,,,,,,
Washington,King,2020-03-10,191,23.0,,,,,,,
Washington,Kitsap,2020-03-10,2,0.0,,,,,,,
Washington,Kittitas,2020-03-10,1,0.0,,,,,,,
Washington,Pierce,2020-03-10,14,0.0,,,,,,,
Washington,Skagit,2020-03-10,1,0.0,,,,,,,
Washington,Snohomish,2020-03-10,61,0.0,,,,,,,
Washington,Spokane,2020-03-10,4,0.0,,,,,,,
Washington,Walla Walla,2020-03-10,1,0.0,,,,,,,
Washington,Whatcom,2020-03-10,1,0.0,,,,,,,
Washington,Chelan,2020-03-11,1,1.0,,,,,,,
Washington,Clark,2020-03-11,1,0.0,,,,,,,
Washington,Island,2020-03-11,1,0.0,,,,,,,
Washington,Jefferson,2020-03-11,1,0.0,,,,,,,
Washington,King,2020-03-11,235,27.0,,,,,,,
Washington,Kitsap,2020-03-11,2,0.0,,,,,,,
Washington,Kittitas,2020-03-11,3,0.0,,,,,,,
Washington,Pierce,2020-03-11,17,0.0,,,,,,,
Washington,Skagit,2020-03-11,1,0.0,,,,,,,
Washington,Snohomish,2020-03-11,69,1.0,,,,,,,
Washington,Spokane,2020-03-11,4,0.0,,,,,,,
Washington,Thurston,2020-03-11,1,0.0,,,,,,,
Washington,Walla Walla,2020-03-11,1,0.0,,,,,,,
Washington,Whatcom,2020-03-11,1,0.0,,,,,,,
Washington,Chelan,2020-03-12,1,1.0,,,,,,,
Washington,Clark,2020-03-12,1,0.0,,,,,,,
Washington,Columbia,2020-03-12,1,0.0,,,,,,,
Washington,Grays Harbor,2020-03-12,1,0.0,,,,,,,
Washington,Island,2020-03-12,3,0.0,,,,,,,
Washington,Jefferson,2020-03-12,1,0.0,,,,,,,
Washington,King,2020-03-12,271,28.0,,,,,,,
Washington,Kitsap,2020-03-12,2,0.0,,,,,,,
Washington,Kittitas,2020-03-12,3,0.0,,,,,,,
Washington,Pierce,2020-03-12,17,0.0,,,,,,,
Washington,Skagit,2020-03-12,2,0.0,,,,,,,
Washington,Snohomish,2020-03-12,107,3.0,,,,,,,
Washington,Spokane,2020-03-12,4,0.0,,,,,,,
Washington,Thurston,2020-03-12,1,0.0,,,,,,,
Washington,Walla Walla,2020-03-12,1,0.0,,,,,,,
Washington,Whatcom,2020-03-12,1,0.0,,,,,,,
Washington,Yakima,2020-03-12,2,0.0,,,,,,,
Washington,Chelan,2020-03-13,1,1.0,,,,,,,
Washington,Clark,2020-03-13,3,0.0,,,,,,,
Washington,Columbia,2020-03-13,1,0.0,,,,,,,
Washington,Grant,2020-03-13,1,0.0,,,,,,,
Washington,Grays Harbor,2020-03-13,1,0.0,,,,,,,
Washington,Island,2020-03-13,3,0.0,,,,,,,
Washington,Jefferson,2020-03-13,1,0.0,,,,,,,
Washington,King,2020-03-13,329,33.0,,,,,,,
Washington,Kitsap,2020-03-13,3,0.0,,,,,,,
Washington,Kittitas,2020-03-13,3,0.0,,,,,,,
Washington,Pierce,2020-03-13,19,0.0,,,,,,,
Washington,Skagit,2020-03-13,3,0.0,,,,,,,
Washington,Snohomish,2020-03-13,132,3.0,,,,,,,
Washington,Spokane,2020-03-13,4,0.0,,,,,,,
Washington,Thurston,2020-03-13,3,0.0,,,,,,,
Washington,Walla Walla,2020-03-13,1,0.0,,,,,,,
Washington,Whatcom,2020-03-13,1,0.0,,,,,,,
Washington,Yakima,2020-03-13,2,0.0,,,,,,,
Washington,Chelan,2020-03-14,1,1.0,,,,,,,
Washington,Clark,2020-03-14,3,0.0,,,,,,,
Washington,Columbia,2020-03-14,1,0.0,,,,,,,
Washington,Grant,2020-03-14,1,0.0,,,,,,,
Washington,Grays Harbor,2020-03-14,1,0.0,,,,,,,
Washington,Island,2020-03-14,6,0.0,,,,,,,
Washington,Jefferson,2020-03-14,1,0.0,,,,,,,
Washington,King,2020-03-14,389,36.0,,,,,,,
Washington,Kitsap,2020-03-14,3,0.0,,,,,,,
Washington,Kittitas,2020-03-14,3,0.0,,,,,,,
Washington,Klickitat,2020-03-14,1,0.0,,,,,,,
Washington,Pierce,2020-03-14,26,0.0,,,,,,,
Washington,Skagit,2020-03-14,3,0.0,,,,,,,
Washington,Snohomish,2020-03-14,154,3.0,,,,,,,
Washington,Spokane,2020-03-14,7,0.0,,,,,,,
Washington,Thurston,2020-03-14,3,0.0,,,,,,,
Washington,Walla Walla,2020-03-14,1,0.0,,,,,,,
Washington,Whatcom,2020-03-14,2,0.0,,,,,,,
